id;left;top;right;bottom;row_index;col_index;field_1;PC1;PC2;PC3;PC4;PC5;PC6;typology;city;z_distance;q_cluster;lst_mean;solar_summ;solar_wint;pm10_mean;pm25_mean;no2_mean;noiseday_m;noisenight;bin_lst_me;bin_solar_;bin_sola_1;bin_pm10_m;bin_pm25_m;bin_no2_me;bin_noised;bin_noisen;City;Building height;Height varability;Sky view factor;Frontal area index;Water cover fraction;Impervious surface cover fraction;Building cover fraction;Pervious surface cover fraction;Aspect ratio;Intersections;Length N-S;Length NE-SW;Length SE-NW;Length E-W;Length primary road;Length highway;Length secondary road;Length railway;Neighbourhood type
138;2498723,99;1117889,101;2498973,99;1117639,101;12;5;1387;-2,475846303;-1,551509272;0,478377576;0,412903099;0,894106811;1,665510795;I;geneva;3,536903053;(2.66,11.4];0,299728398;-1,084049513;-0,477677091;2,132353179;1,659622284;2,371349733;0,181387301;0,173094091;(-0.0567,0.716];(-2.51,-0.611];(-0.722,-0.31];(0.673,2.38];(0.689,2.65];(0.698,3.07];(0.0621,0.737];(0.106,0.611];geneva;19,13313875;6,86;0,668551812;0,08;0,276;0,171;0,11;0,443;0,519;3;64,45;0;74,8;276,62;0;0;415,87;0;G-E
139;2498723,99;1117639,101;2498973,99;1117389,101;13;5;1388;-0,241491016;-1,10250588;-1,457990755;-0,62034923;1,146166078;0,057823047;C;geneva;2,258638422;(2,2.66];1,410636105;-0,60589058;-0,451916188;-0,043957182;-0,582360168;0,176771805;-1,022257862;-0,880170355;(0.716,2.72];(-0.611,-0.0457];(-0.722,-0.31];(-0.162,0.673];(-0.731,-0.152];(-0.0796,0.698];(-2.7,-0.657];(-2.55,-0.65];geneva;14,16982492;7,128;0,516134005;0,284;0;0,441;0,494;0,065;0,719;7;504,6;85,93;96,88;603,63;677,675879;0;613,364121;0;S-B
140;2498723,99;1117389,101;2498973,99;1117139,101;14;5;1389;-0,24779758;-0,219389352;1,490326605;-0,353279553;-0,71248171;0,74260554;E;geneva;1,874702199;(1.48,2];-0,90996185;-0,908075754;-0,845035135;1,287540891;0,299633107;1,817389912;0,515979192;0,244692587;(-2.4,-0.699];(-2.51,-0.611];(-1.71,-0.722];(0.673,2.38];(-0.152,0.689];(0.698,3.07];(0.0621,0.737];(0.106,0.611];geneva;16,34767376;8,942;0,606218875;0,044;0,351;0,503;0,091;0,055;0,311;6;423,29;334,5;403,84;13,42;416,709596;0;758,340404;0;S-C
153;2498973,99;1120389,101;2499223,99;1120139,101;2;6;1390;1,04397633;0,769094801;-0,233482447;-1,397059141;0,197794268;-0,098130681;D;geneva;1,932985745;(1.48,2];-0,869507086;-0,205333093;-0,192346319;-0,962447837;-1,174440228;-1,188619106;0,3816233;0,306012961;(-2.48,-0.689];(-4.47,-0.205];(-0.379,-0.192];(-3.72,-0.709];(-3.76,-0.754];(-3.18,-0.766];(0.00919,0.698];(0.00855,0.71];geneva;22,21652587;10,591;0,540278631;0,264;0;0,469;0,088;0,443;0,335;2;0;136,78;503,88;0;353,106138;0;287,553862;0;G-E
154;2498973,99;1120139,101;2499223,99;1119889,101;3;6;1391;1,360272243;0,90649278;-0,128640912;-0,378343481;-0,136871329;0,044400165;D;geneva;1,688924848;(1.48,2];-0,90391366;-0,205333093;-0,192346319;-1,111105252;-1,190968205;-1,236694249;-0,246059485;-0,170320276;(-2.48,-0.689];(-4.47,-0.205];(-0.379,-0.192];(-3.72,-0.709];(-3.76,-0.754];(-3.18,-0.766];(-0.628,0.00919];(-0.654,0.00855];geneva;22,08202393;13,073;0,557417911;0,152;0;0,356;0,141;0,503;0,44;3;220,05;263,66;66,7;0;0;0;550,41;0;G-E
155;2498973,99;1119889,101;2499223,99;1119639,101;4;6;1392;0,98364313;-0,043625249;-1,797919967;0,008047715;0,961932491;2,256549379;B;geneva;3,196774493;(2.66,11.4];-0,925249999;-0,205333093;-0,192346319;-1,263825518;-1,410961607;-1,273810505;-1,989422819;-1,673104739;(-2.48,-0.689];(-4.47,-0.205];(-0.379,-0.192];(-3.72,-0.709];(-3.76,-0.754];(-3.18,-0.766];(-3.42,-0.628];(-3.11,-0.654];geneva;23,28466038;9,707;0,513860037;0,181;0;0,268;0,193;0,539;0,495;10;140,04;437,63;495,8;42,08;0;0;1115,55;0;G-E
156;2498973,99;1119639,101;2499223,99;1119389,101;5;6;1393;0,3263572;1,471130075;0,182896895;-1,339460551;-0,058700883;0,624029099;G;geneva;2,119244363;(2,2.66];-0,774571149;-0,205333093;-0,192346319;-1,345815513;-1,42365571;-1,288647101;-2,690272049;-2,388884551;(-2.48,-0.689];(-4.47,-0.205];(-0.379,-0.192];(-3.72,-0.709];(-3.76,-0.754];(-3.18,-0.766];(-3.42,-0.628];(-3.11,-0.654];geneva;13,60490554;4,719;0,567915297;0,101;0;0,34;0,127;0,533;0,259;5;0;149,3;799,2;0;0;0;948,5;0;G-E
157;2498973,99;1119389,101;2499223,99;1119139,101;6;6;1394;0,421764866;0,461638311;-0,042495574;-1,589905804;0,23726053;0,893788586;E;geneva;1,943129554;(1.48,2];-0,81270801;-0,205333093;-0,192346319;-1,505606279;-1,441791109;-1,315677958;-1,560411442;-1,512620024;(-2.48,-0.689];(-4.47,-0.205];(-0.379,-0.192];(-3.72,-0.709];(-3.76,-0.754];(-3.18,-0.766];(-3.42,-0.628];(-3.11,-0.654];geneva;16,89698206;8,345;0,646667377;0,114;0;0,474;0,14;0,386;0,298;7;0;393,17;323,41;0;732,832538;0;0;0;G-D
158;2498973,99;1119139,101;2499223,99;1118889,101;7;6;1395;0,072149249;-0,180399894;-0,590778126;-1,637544897;1,066062855;-0,39210926;A;geneva;2,087716792;(2,2.66];-0,718472679;-0,205333093;-0,192346319;-1,494163317;-1,445762329;-1,306302424;0,195362322;0,120749736;(-2.48,-0.689];(-4.47,-0.205];(-0.379,-0.192];(-3.72,-0.709];(-3.76,-0.754];(-3.18,-0.766];(0.00919,0.698];(0.00855,0.71];geneva;21,06034672;8,329;0,510227972;0,292;0;0,557;0,305;0,138;0,443;19;0;808,13;571,65;0;1519,707231;0;0;0;G-C
159;2498973,99;1118889,101;2499223,99;1118639,101;8;6;1396;-0,463893062;0,515912869;0,266516538;-0,948679085;-0,188635721;1,110325035;A;geneva;1,649482055;(1.48,2];0,64457684;-0,535578273;-0,899272185;-0,371909772;-0,46043645;0,018962097;-0,924581429;-0,28750943;(-0.0567,0.716];(-0.611,-0.0457];(-1.71,-0.722];(-0.717,-0.162];(-0.731,-0.152];(-0.0796,0.698];(-2.7,-0.657];(-0.65,0.106];geneva;19,69566342;8,906;0,489844758;0,42;0;0,56;0,44;0;0,856;10;15,28;636,14;622,35;0;845,822612;0;427,947388;0;G-A
